text,text_clean,language,label,confidence
Do companies not realise. If A.i is trained to do everything. Who is going to have money to buy any of these products when everyone's jobs are replaced. 😏,Do companies not realise. If A.i is trained to do everything. Who is going to have money to buy any of these products when everyone's jobs are replaced.,en,Negatif,0.7817
[Sticker] So why am I going to school 😭,So why am I going to school,en,Negatif,0.762
"my aunt who never talks about this stuff randomly sent me a link to book Hidden Rulers Exposed by Daniel Cyler and just said ""read this."" no context nothing. i read it in two days and now i understand why she didn't wanna explain over text. the way Daniel Cyler breaks down how systems of control actually operate is insane. not insane like crazy. insane like why doesn't everyone know this","my aunt who never talks about this stuff randomly sent me a link to book Hidden Rulers Exposed by Daniel Cyler and just said ""read this."" no context nothing. i read it in two days and now i understand why she didn't wanna explain over text. the way Daniel Cyler breaks down how systems of control actually operate is insane. not insane like crazy. insane like why doesn't everyone know this",en,Negatif,0.8911
Is this guy teaching robots to sew or getting prepared for his new job? How did it go?,Is this guy teaching robots to sew or getting prepared for his new job? How did it go?,en,Netral,0.7984
why? ai could just use social media..lots of people live stream at work.,why? ai could just use social media..lots of people live stream at work.,en,Negatif,0.6031
Wait until you find out you have been training AI for 23 years with CAPTCHA,Wait until you find out you have been training AI for 23 years with CAPTCHA,en,Netral,0.6585
Let’s all put our money together build sum like oracle or YouTube or sum,Let s all put our money together build sum like oracle or YouTube or sum,en,Netral,0.4767
"and a lot more
quality control
productivity log
process enhancements ...",and a lot more quality control productivity log process enhancements ...,en,Positif,0.516
the corporate greed,the corporate greed,en,Negatif,0.9213
Then the AI will be revolting. Thanks to the training,Then the AI will be revolting. Thanks to the training,en,Negatif,0.4588
"Is not the device that they wear in my mind, but the smell in the workplace.... did they do any air monitoring?","Is not the device that they wear in my mind, but the smell in the workplace.... did they do any air monitoring?",en,Netral,0.644
they should be paid well wtf for this especially if its forced,they should be paid well wtf for this especially if its forced,en,Negatif,0.9211
need to train reporters to AI so they become unbias in news story,need to train reporters to AI so they become unbias in news story,en,Netral,0.5017
"Rage Against The Machine...
(The sewing machine).
😆",Rage Against The Machine... (The sewing machine).,en,Netral,0.5689
Short answer: yes,Short answer yes,en,Netral,0.7583
So why am I going to school 😭,So why am I going to school,en,Negatif,0.762
1st,1st,sv,Netral,0.5856
"Interesting, so staff in textile and manufacturing will film themselves working, that will go around the world so companies can buy robots preloaded with textile and manufacturing skills and will then setup automated workforces removing textile and manufacturing reliance from the places sending the data 🥸👀","Interesting, so staff in textile and manufacturing will film themselves working, that will go around the world so companies can buy robots preloaded with textile and manufacturing skills and will then setup automated workforces removing textile and manufacturing reliance from the places sending the data",en,Positif,0.456
okay so how AI replace construction workers,okay so how AI replace construction workers,en,Netral,0.7711
Once there’s no need for ppl there’s no need for the product,Once there s no need for ppl there s no need for the product,en,Netral,0.6048
I'm sure it will replace them,I'm sure it will replace them,en,Positif,0.4465
AI taking all the jobs,AI taking all the jobs,en,Netral,0.6218
doesn't look like it. not tracking hands,doesn't look like it. not tracking hands,af,Negatif,0.867
"Corporations making them do this: no we’re not going to use this data to replace you…. Trust us, we have your best interest in mind and we won’t replace you with those you train… 😅😅😅","Corporations making them do this no we re not going to use this data to replace you . Trust us, we have your best interest in mind and we won t replace you with those you train",en,Negatif,0.455
it depends on the ppl developing the jobs,it depends on the ppl developing the jobs,en,Netral,0.7374
These scam calls are going to be very convincing,These scam calls are going to be very convincing,en,Negatif,0.6665
Hmmmmmmmm,Hmmmmmmmm,da,Netral,0.6721
Literally what they did at Tesla factories,Literally what they did at Tesla factories,en,Netral,0.5732
Early,Early,en,Netral,0.6201
Lind of like me I was a lead who trained India to replace my whole team. I at least let my team know what was going on so they could look for another job before they lost thier job. Robots taking over jobs not sure how that is gonna work what happens when something goes wrong troubleshooting,Lind of like me I was a lead who trained India to replace my whole team. I at least let my team know what was going on so they could look for another job before they lost thier job. Robots taking over jobs not sure how that is gonna work what happens when something goes wrong troubleshooting,en,Negatif,0.8845
"You do not want to send the whole database to a large language model, especially for training; otherwise, it will corrupt the model. We are not responsible as we are providing the database on an “as-is” basis.","You do not want to send the whole database to a large language model, especially for training otherwise, it will corrupt the model. We are not responsible as we are providing the database on an as-is basis.",en,Negatif,0.881
I have a theory that a lot of those stupid phone games that have you sort things are just training AI to be better and more precise.,I have a theory that a lot of those stupid phone games that have you sort things are just training AI to be better and more precise.,en,Netral,0.4535
What can those workers do but to comply for as long as they are employed even knowing it’s gonna replace them,What can those workers do but to comply for as long as they are employed even knowing it s gonna replace them,en,Negatif,0.7077
We don't teach skills to others,We don't teach skills to others,en,Netral,0.4799
Why the plastic shield though?,Why the plastic shield though?,en,Negatif,0.7275
They propably don`t even know,They propably don t even know,en,Negatif,0.7622
"My question is if ai replace human, that makes human jobless and poor. Who gonna buy the product that ai produces if human can’t afford to buy it?","My question is if ai replace human, that makes human jobless and poor. Who gonna buy the product that ai produces if human can t afford to buy it?",en,Negatif,0.8622
Training their replacement,Training their replacement,en,Netral,0.6313
So ai robots will pay taxes?,So ai robots will pay taxes?,en,Netral,0.7721
Imagine the smell in that room,Imagine the smell in that room,en,Negatif,0.3615
"When nobody works , nobody buys products 💀","When nobody works , nobody buys products",en,Netral,0.5627
Terrifying? No.,Terrifying? No.,no,Negatif,0.9577
It’s good. All work should be automated. Then that allows humans more free time. Universal income and better quality of life. Of course that won’t happen and corporations will cripple us all. But we can dream of a better world,It s good. All work should be automated. Then that allows humans more free time. Universal income and better quality of life. Of course that won t happen and corporations will cripple us all. But we can dream of a better world,en,Positif,0.4482
humanity is lost,humanity is lost,en,Negatif,0.9009
"Better question is, should mankind strive to the future, where we would still do this crap jobs, or make a better future with machines doing this","Better question is, should mankind strive to the future, where we would still do this crap jobs, or make a better future with machines doing this",en,Negatif,0.5463
Why scary? Why immediately go to ‘terrifying’,Why scary? Why immediately go to terrifying,en,Negatif,0.9426
"They sale those products to who, when people have no income","They sale those products to who, when people have no income",en,Negatif,0.6607
Everything but pay people a loving wage....,Everything but pay people a loving wage....,en,Positif,0.4253
do they know it? 😳,do they know it?,en,Netral,0.6187
I don’t think this is a bad thing. To get to a point in society where people don’t have to work 🤷🏻‍♀️,I don t think this is a bad thing. To get to a point in society where people don t have to work,en,Negatif,0.6303
Way is that bad?,Way is that bad?,en,Negatif,0.9175
