"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Do companies not realise. If A.i is trained to do everything. Who is going to have money to buy any of these products when everyone's jobs are replaced. 😏","183","7","2026-04-15T09:39:21.000Z","talktomikey","https://www.tiktok.com/@cnn/video/7628899499397696782","6746454554226820102","7628918248230273793","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7330369947907833862~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3eaa72fe&x-expires=1776834000&x-signature=qlEm3D2lTtzD9E%2B%2BjQfw3UGigIA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"[Sticker] So why am I going to school 😭","413","4","2026-04-15T08:34:33.000Z","iloveoleander","https://www.tiktok.com/@cnn/video/7628899499397696782","7176452854517269509","7628901572102128402","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/50bbc3a51a39d339a243c974ee3f28ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4cf6d707&x-expires=1776834000&x-signature=Aacvl%2FyH9JgJtrZ1DS%2F%2Fn%2BqLyqU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"my aunt who never talks about this stuff randomly sent me a link to book Hidden Rulers Exposed by Daniel Cyler and just said ""read this."" no context nothing. i read it in two days and now i understand why she didn't wanna explain over text. the way Daniel Cyler breaks down how systems of control actually operate is insane. not insane like crazy. insane like why doesn't everyone know this","60","21","2026-04-16T07:06:32.000Z","miguelcamacho2660","https://www.tiktok.com/@cnn/video/7628899499397696782","7541874712688215045","7629249953399587602","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9db1f712027911bc12a3fbd01b2cd954~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f7907881&x-expires=1776834000&x-signature=uA%2FjDV%2BToi8Z1mOOeMFvY%2BAsdL8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Is this guy teaching robots to sew or getting prepared for his new job? How did it go?","204","0","2026-04-15T08:29:02.000Z","carriekvmartin","https://www.tiktok.com/@cnn/video/7628899499397696782","7623815592180646934","7628900077167887126","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/46805fc936e5e3e2ecbe2400855e5a89~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5b645254&x-expires=1776834000&x-signature=2kqZYsJ%2BW0nEX5FZ5G446Tll%2BuI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"why? ai could just use social media..lots of people live stream at work.","18","2","2026-04-15T08:54:41.000Z","willntoeverything","https://www.tiktok.com/@cnn/video/7628899499397696782","7472942091256808494","7628906105356141325","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7f8d53fa06881c4bdcf7328fc0367705~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=20d4fd7f&x-expires=1776834000&x-signature=U3Dptz8Du%2BQ8UFi5B1ZtpVz07Wg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Wait until you find out you have been training AI for 23 years with CAPTCHA","9","0","2026-04-17T16:50:20.000Z","grumpymonk369","https://www.tiktok.com/@cnn/video/7628899499397696782","6752210337162101765","7629771410441421582","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ac402f3f8b47561760400012faefcd6e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e2d15ad8&x-expires=1776834000&x-signature=MLdYjRiqAGFLuycO0vGeR4zzJg8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Let’s all put our money together build sum like oracle or YouTube or sum","2","0","2026-04-17T23:22:44.000Z","m2276156","https://www.tiktok.com/@cnn/video/7628899499397696782","7368649217340802090","7629872505566692126","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7368661171525648426~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=07c2e1ef&x-expires=1776834000&x-signature=u1auZSsWLERWRNXTTMreIsqEPNk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"and a lot more
quality control
productivity log
process enhancements ...","5","3","2026-04-15T08:54:58.000Z","alfaric1","https://www.tiktok.com/@cnn/video/7628899499397696782","7128681063341933570","7628906830604878612","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/54ab8297dddf20ac50a1138eea455b42~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3e5a4ce5&x-expires=1776834000&x-signature=XdDEoHDLsX8FBY4r9R0yheBB7%2FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"the corporate greed","11","0","2026-04-16T00:59:11.000Z","adrian8723","https://www.tiktok.com/@cnn/video/7628899499397696782","6570249392648077314","7629155250293113616","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7330069133414891522~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f72bfdb8&x-expires=1776834000&x-signature=vaDUYxrLId%2Bo5FoNRCPECy6uH3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Then the AI will be revolting. Thanks to the training","2","0","2026-04-15T09:51:29.000Z","itslorethnia","https://www.tiktok.com/@cnn/video/7628899499397696782","6616601627468218369","7628921378385773329","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f1600f3e646d70f95ed560b4b94fe2aa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5cff9b27&x-expires=1776834000&x-signature=ZtDuU%2BjelU1nEcbHkItCjW0Ki%2FQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
